Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05T03:44:27Z,2024-10-09T19:02:56Z,37241,5895,20,MIT License,machine-learning
Open-Assistant,LAION-AI,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",https://github.com/LAION-AI/Open-Assistant,Python,2022-12-13T05:24:17Z,2024-10-09T13:10:50Z,36998,3226,290,Apache License 2.0,machine-learning
airflow,apache,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",https://github.com/apache/airflow,Python,2015-04-13T18:04:58Z,2024-10-09T19:25:14Z,36617,14175,1197,Apache License 2.0,machine-learning
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23T18:35:18Z,2024-10-09T17:48:44Z,35020,4060,1110,Apache License 2.0,machine-learning
streamlit,streamlit,Streamlit â€” A faster way to build and share data apps.,https://github.com/streamlit/streamlit,Python,2019-08-24T00:14:52Z,2024-10-09T18:28:38Z,35008,3030,963,Apache License 2.0,machine-learning
photoprism,photoprism,AI-Powered Photos App for the Decentralized Web ðŸŒˆðŸ’Žâœ¨,https://github.com/photoprism/photoprism,Go,2018-01-27T12:00:15Z,2024-10-09T15:41:00Z,34967,1918,470,Other,machine-learning
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03T16:27:36Z,2024-10-09T17:56:24Z,34380,5747,57,MIT License,machine-learning
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12T18:39:48Z,2024-10-09T10:00:54Z,34067,18697,1187,Other,machine-learning
google-research,google-research,Google Research,https://github.com/google-research/google-research,Jupyter Notebook,2018-10-04T18:42:48Z,2024-10-09T15:14:49Z,34019,7852,1478,Apache License 2.0,machine-learning
ray,ray-project,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,https://github.com/ray-project/ray,Python,2016-10-25T19:38:30Z,2024-10-09T18:03:42Z,33348,5648,4072,Apache License 2.0,machine-learning
gradio,gradio-app,"Build and share delightful machine learning apps, all in Python. ðŸŒŸ Star to support our work!",https://github.com/gradio-app/gradio,Python,2018-12-19T08:24:04Z,2024-10-09T19:07:19Z,32611,2453,550,Apache License 2.0,machine-learning
tensorflow,tensorflow,An Open Source Machine Learning Framework for Everyone,https://github.com/tensorflow/tensorflow,C++,2015-11-07T01:19:20Z,2024-10-09T19:16:18Z,185887,74242,5154,Apache License 2.0,deep-learning
stable-diffusion-webui,AUTOMATIC1111,Stable Diffusion web UI,https://github.com/AUTOMATIC1111/stable-diffusion-webui,Python,2022-08-22T14:05:26Z,2024-10-09T18:44:26Z,140868,26649,2294,GNU Affero General Public License v3.0,deep-learning
transformers,huggingface,"ðŸ¤— Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",https://github.com/huggingface/transformers,Python,2018-10-29T13:56:00Z,2024-10-09T19:21:16Z,133123,26579,1409,Apache License 2.0,deep-learning
pytorch,pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,https://github.com/pytorch/pytorch,Python,2016-08-13T05:26:41Z,2024-10-09T19:13:40Z,82794,22315,15074,Other,deep-learning
opencv,opencv,Open Source Computer Vision Library,https://github.com/opencv/opencv,C++,2012-07-19T09:40:17Z,2024-10-09T18:02:34Z,78433,55748,2656,Apache License 2.0,deep-learning
cs-video-courses,Developer-Y,List of Computer Science courses with video lectures.,https://github.com/Developer-Y/cs-video-courses,,2016-10-21T17:02:11Z,2024-10-09T19:01:53Z,66897,9089,4,No License,deep-learning
d2l-zh,d2l-ai,ã€ŠåŠ¨æ‰‹å­¦æ·±åº¦å­¦ä¹ ã€‹ï¼šé¢å‘ä¸­æ–‡è¯»è€…ã€èƒ½è¿è¡Œã€å¯è®¨è®ºã€‚ä¸­è‹±æ–‡ç‰ˆè¢«70å¤šä¸ªå›½å®¶çš„500å¤šæ‰€å¤§å­¦ç”¨äºŽæ•™å­¦ã€‚,https://github.com/d2l-ai/d2l-zh,Python,2017-08-23T04:40:24Z,2024-10-09T18:12:49Z,61947,10908,85,Apache License 2.0,deep-learning
keras,keras-team,Deep Learning for humans,https://github.com/keras-team/keras,Python,2015-03-28T00:35:42Z,2024-10-09T18:18:24Z,61847,19438,254,Apache License 2.0,deep-learning
annotated_deep_learning_paper_implementations,labmlai,"ðŸ§‘â€ðŸ« 60+ Implementations/tutorials of deep learning papers with side-by-side notes ðŸ“; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), ðŸŽ® reinforcement learning (ppo, dqn), capsnet, distillation, ... ðŸ§ ",https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,2020-08-25T02:29:34Z,2024-10-09T18:32:49Z,54639,5637,29,MIT License,deep-learning
Real-Time-Voice-Cloning,CorentinJ,Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/CorentinJ/Real-Time-Voice-Cloning,Python,2019-05-26T08:56:15Z,2024-10-09T16:57:45Z,52350,8753,209,Other,deep-learning
faceswap,deepfakes,Deepfakes Software For All,https://github.com/deepfakes/faceswap,Python,2017-12-19T09:44:13Z,2024-10-09T14:41:49Z,52065,13188,29,GNU General Public License v3.0,deep-learning
yolov5,ultralytics,YOLOv5 ðŸš€ in PyTorch > ONNX > CoreML > TFLite,https://github.com/ultralytics/yolov5,Python,2020-05-18T03:45:11Z,2024-10-09T19:19:03Z,50088,16179,142,GNU Affero General Public License v3.0,deep-learning
Prompt-Engineering-Guide,dair-ai,"ðŸ™ Guides, papers, lecture, notebooks and resources for prompt engineering",https://github.com/dair-ai/Prompt-Engineering-Guide,MDX,2022-12-16T16:04:50Z,2024-10-09T18:37:48Z,49217,4776,159,MIT License,deep-learning
100-Days-Of-ML-Code,Avik-Jain,100 Days of ML Coding,https://github.com/Avik-Jain/100-Days-Of-ML-Code,,2018-07-05T09:11:43Z,2024-10-09T18:14:52Z,44969,10530,62,MIT License,deep-learning
TensorFlow-Examples,aymericdamien,TensorFlow Tutorial and Examples for Beginners (support TF v1 & v2),https://github.com/aymericdamien/TensorFlow-Examples,Jupyter Notebook,2015-11-11T14:21:19Z,2024-10-09T17:12:35Z,43388,14945,221,Other,deep-learning
ColossalAI,hpcaitech,"Making large AI models cheaper, faster and more accessible",https://github.com/hpcaitech/ColossalAI,Python,2021-10-28T16:19:44Z,2024-10-09T16:19:37Z,38711,4339,435,Apache License 2.0,deep-learning
Deep-Learning-Papers-Reading-Roadmap,floodsung,Deep Learning papers reading roadmap for anyone who are eager to learn this amazing tech!,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap,Python,2016-10-14T11:49:48Z,2024-10-09T19:07:23Z,38022,7302,88,No License,deep-learning
Made-With-ML,GokuMohandas,"Learn how to design, develop, deploy and iterate on production-grade ML applications.",https://github.com/GokuMohandas/Made-With-ML,Jupyter Notebook,2018-11-05T03:44:27Z,2024-10-09T19:02:56Z,37241,5895,20,MIT License,deep-learning
GFPGAN,TencentARC,GFPGAN aims at developing Practical Algorithms for Real-world Face Restoration.,https://github.com/TencentARC/GFPGAN,Python,2021-03-19T06:18:20Z,2024-10-09T14:21:24Z,35665,5907,369,Other,deep-learning
MockingBird,babysor,ðŸš€AIæ‹Ÿå£°: 5ç§’å†…å…‹éš†æ‚¨çš„å£°éŸ³å¹¶ç”Ÿæˆä»»æ„è¯­éŸ³å†…å®¹ Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/babysor/MockingBird,Python,2021-08-07T03:53:39Z,2024-10-09T18:03:48Z,35059,5195,469,Other,deep-learning
DeepSpeed,microsoft,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",https://github.com/microsoft/DeepSpeed,Python,2020-01-23T18:35:18Z,2024-10-09T17:48:44Z,35020,4060,1110,Apache License 2.0,deep-learning
streamlit,streamlit,Streamlit â€” A faster way to build and share data apps.,https://github.com/streamlit/streamlit,Python,2019-08-24T00:14:52Z,2024-10-09T18:28:38Z,35008,3030,963,Apache License 2.0,deep-learning
tesseract.js,naptha,Pure Javascript OCR for more than 100 Languages ðŸ“–ðŸŽ‰ðŸ–¥,https://github.com/naptha/tesseract.js,JavaScript,2015-06-24T02:49:52Z,2024-10-09T17:42:04Z,34972,2211,30,Apache License 2.0,deep-learning
TTS,coqui-ai,"ðŸ¸ðŸ’¬ - a deep learning toolkit for Text-to-Speech, battle-tested in research and production",https://github.com/coqui-ai/TTS,Python,2020-05-20T15:45:28Z,2024-10-09T18:38:53Z,34467,4174,83,Mozilla Public License 2.0,deep-learning
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03T16:27:36Z,2024-10-09T17:56:24Z,34380,5747,57,MIT License,deep-learning
caffe,BVLC,Caffe: a fast open framework for deep learning.,https://github.com/BVLC/caffe,C++,2013-09-12T18:39:48Z,2024-10-09T10:00:54Z,34067,18697,1187,Other,deep-learning
ray,ray-project,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,https://github.com/ray-project/ray,Python,2016-10-25T19:38:30Z,2024-10-09T18:03:42Z,33348,5648,4072,Apache License 2.0,deep-learning
gradio,gradio-app,"Build and share delightful machine learning apps, all in Python. ðŸŒŸ Star to support our work!",https://github.com/gradio-app/gradio,Python,2018-12-19T08:24:04Z,2024-10-09T19:07:19Z,32611,2453,550,Apache License 2.0,deep-learning
openpose,CMU-Perceptual-Computing-Lab,"OpenPose: Real-time multi-person keypoint detection library for body, face, hands, and foot estimation",https://github.com/CMU-Perceptual-Computing-Lab/openpose,C++,2017-04-24T14:06:31Z,2024-10-09T17:04:48Z,30980,7844,328,Other,deep-learning
pytorch-tutorial,yunjey,PyTorch Tutorial for Deep Learning Researchers,https://github.com/yunjey/pytorch-tutorial,Python,2017-03-10T07:41:47Z,2024-10-09T18:23:19Z,29956,8104,86,MIT License,deep-learning
d3,d3,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",https://github.com/d3/d3,Shell,2010-09-27T17:22:42Z,2024-10-09T17:14:28Z,108588,22861,15,ISC License,data-visualization
netdata,netdata,"Architected for speed. Automated for easy. Monitoring and troubleshooting, transformed!",https://github.com/netdata/netdata,C,2013-06-17T18:39:10Z,2024-10-09T17:34:58Z,71388,5893,207,GNU General Public License v3.0,data-visualization
grafana,grafana,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",https://github.com/grafana/grafana,TypeScript,2013-12-11T15:59:56Z,2024-10-09T18:47:47Z,64304,12033,4174,GNU Affero General Public License v3.0,data-visualization
superset,apache,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,TypeScript,2015-07-21T18:55:34Z,2024-10-09T19:26:11Z,62145,13639,983,Apache License 2.0,data-visualization
echarts,apache,"Apache ECharts is a powerful, interactive charting and data visualization library for browser",https://github.com/apache/echarts,TypeScript,2013-04-03T03:18:59Z,2024-10-09T17:14:04Z,60332,19608,2166,Apache License 2.0,data-visualization
pixijs,pixijs,"The HTML5 Creation Engine: Create beautiful digital content with the fastest, most flexible 2D WebGL renderer.",https://github.com/pixijs/pixijs,TypeScript,2013-01-21T22:40:50Z,2024-10-09T19:26:59Z,43707,4763,381,MIT License,data-visualization
metabase,metabase,"The simplest, fastest way to get business intelligence and analytics to everyone in your company :yum:",https://github.com/metabase/metabase,Clojure,2015-02-02T19:25:47Z,2024-10-09T19:20:30Z,38366,5089,4223,Other,data-visualization
streamlit,streamlit,Streamlit â€” A faster way to build and share data apps.,https://github.com/streamlit/streamlit,Python,2019-08-24T00:14:52Z,2024-10-09T18:28:38Z,35008,3030,963,Apache License 2.0,data-visualization
gradio,gradio-app,"Build and share delightful machine learning apps, all in Python. ðŸŒŸ Star to support our work!",https://github.com/gradio-app/gradio,Python,2018-12-19T08:24:04Z,2024-10-09T19:07:19Z,32611,2453,550,Apache License 2.0,data-visualization
Data-Science-For-Beginners,microsoft,"10 Weeks, 20 Lessons, Data Science for All!",https://github.com/microsoft/Data-Science-For-Beginners,Jupyter Notebook,2021-03-03T16:30:15Z,2024-10-09T18:25:27Z,27903,5766,55,MIT License,data-visualization
directus,directus,"The flexible backend for all your projects ðŸ° Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",https://github.com/directus/directus,TypeScript,2012-12-12T01:35:36Z,2024-10-09T19:20:46Z,27417,3829,521,Other,data-visualization
awesome-datascience,academic,:memo: An awesome Data Science repository to learn and apply for real world problems.,https://github.com/academic/awesome-datascience,,2014-07-05T07:07:43Z,2024-10-09T17:58:55Z,24863,5870,0,MIT License,data-visualization
dash,plotly,Data Apps & Dashboards for Python. No JavaScript Required.,https://github.com/plotly/dash,Python,2015-04-10T01:53:08Z,2024-10-09T13:33:28Z,21297,2054,482,MIT License,data-visualization
matplotlib,matplotlib,matplotlib: plotting with Python,https://github.com/matplotlib/matplotlib,Python,2011-02-19T03:17:12Z,2024-10-09T15:48:34Z,20086,7598,1593,No License,data-visualization
visx,airbnb,ðŸ¯ visx | visualization components,https://github.com/airbnb/visx,TypeScript,2017-03-15T16:25:41Z,2024-10-09T16:06:45Z,19407,712,150,MIT License,data-visualization
dataease,dataease,ðŸ”¥ äººäººå¯ç”¨çš„å¼€æº BI å·¥å…·ï¼ŒTableauã€å¸†è½¯çš„å¼€æºæ›¿ä»£ã€‚,https://github.com/dataease/dataease,Java,2021-02-02T04:10:21Z,2024-10-09T16:21:03Z,17563,3192,375,GNU General Public License v3.0,data-visualization
plotly.js,plotly,Open-source JavaScript charting library behind Plotly and Dash,https://github.com/plotly/plotly.js,JavaScript,2015-11-05T23:27:17Z,2024-10-09T15:21:51Z,16942,1857,604,MIT License,data-visualization
best-of-ml-python,ml-tooling,ðŸ† A ranked list of awesome machine learning Python libraries. Updated weekly.,https://github.com/ml-tooling/best-of-ml-python,,2020-11-29T19:41:36Z,2024-10-09T16:27:23Z,16322,2359,27,Creative Commons Attribution Share Alike 4.0 International,data-visualization
apexcharts.js,apexcharts,ðŸ“Š Interactive JavaScript Charts built on SVG,https://github.com/apexcharts/apexcharts.js,JavaScript,2018-07-24T15:22:23Z,2024-10-09T08:19:29Z,14278,1297,321,MIT License,data-visualization
awesome-bigdata,oxnr,"A curated list of awesome big data frameworks, ressources and other awesomeness.",https://github.com/oxnr/awesome-bigdata,,2014-07-04T15:01:03Z,2024-10-09T01:30:57Z,13177,2549,39,MIT License,data-visualization
awesome-creative-coding,terkelg,"Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.",https://github.com/terkelg/awesome-creative-coding,HTML,2016-11-01T23:50:27Z,2024-10-09T18:38:44Z,12813,872,4,No License,data-visualization
taipy,Avaiga,Turns Data and AI algorithms into production-ready web applications in no time.,https://github.com/Avaiga/taipy,Python,2022-02-18T15:55:45Z,2024-10-09T18:09:42Z,12776,977,151,Apache License 2.0,data-visualization
seaborn,mwaskom,Statistical data visualization in Python,https://github.com/mwaskom/seaborn,Python,2012-06-18T18:41:19Z,2024-10-09T17:22:50Z,12461,1917,178,"BSD 3-Clause ""New"" or ""Revised"" License",data-visualization
deck.gl,visgl,WebGL2 powered visualization framework,https://github.com/visgl/deck.gl,TypeScript,2015-12-15T08:38:29Z,2024-10-09T15:32:20Z,12158,2082,343,MIT License,data-visualization
sigma.js,jacomyal,A JavaScript library aimed at visualizing graphs of thousands of nodes and edges,https://github.com/jacomyal/sigma.js,TypeScript,2012-03-11T15:17:40Z,2024-10-09T16:41:47Z,11240,1586,26,MIT License,data-visualization
vanna,vanna-ai,ðŸ¤– Chat with your SQL database ðŸ“Š. Accurate Text-to-SQL Generation via LLMs using RAG ðŸ”„.,https://github.com/vanna-ai/vanna,Python,2023-05-13T17:26:28Z,2024-10-09T18:58:49Z,11083,863,114,MIT License,data-visualization
G6,antvis,â™¾ A Graph Visualization Framework in JavaScript.,https://github.com/antvis/G6,TypeScript,2017-02-13T10:00:43Z,2024-10-09T08:33:42Z,11060,1312,148,MIT License,data-visualization
victory,FormidableLabs,A collection of composable React components for building interactive data visualizations,https://github.com/FormidableLabs/victory,TypeScript,2015-07-02T22:36:50Z,2024-10-09T14:30:20Z,10981,525,97,Other,data-visualization
kepler.gl,keplergl,Kepler.gl is a powerful open source geospatial analysis tool for large-scale data sets.,https://github.com/keplergl/kepler.gl,TypeScript,2018-02-28T21:36:16Z,2024-10-09T08:59:47Z,10308,1732,632,MIT License,data-visualization
c3,c3js,:bar_chart: A D3-based reusable chart library,https://github.com/c3js/c3,JavaScript,2013-07-18T06:51:40Z,2024-10-09T09:38:13Z,9346,1393,780,MIT License,data-visualization
superset,apache,Apache Superset is a Data Visualization and Data Exploration Platform,https://github.com/apache/superset,TypeScript,2015-07-21T18:55:34Z,2024-10-09T19:26:11Z,62145,13639,983,Apache License 2.0,data-analytics
awesome-bigdata,oxnr,"A curated list of awesome big data frameworks, ressources and other awesomeness.",https://github.com/oxnr/awesome-bigdata,,2014-07-04T15:01:03Z,2024-10-09T01:30:57Z,13177,2549,39,MIT License,data-analytics
danfojs,javascriptdata,"Danfo.js is an open source, JavaScript library providing high performance, intuitive, and easy to use data structures for manipulating and processing structured data.",https://github.com/javascriptdata/danfojs,TypeScript,2020-05-13T21:53:26Z,2024-10-09T10:33:20Z,4772,209,119,MIT License,data-analytics
pathway,pathwaycom,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",https://github.com/pathwaycom/pathway,Python,2022-11-27T13:01:14Z,2024-10-09T17:36:56Z,3927,125,34,Other,data-analytics
lightdash,lightdash,Self-serve BI to 10x your data team âš¡ï¸,https://github.com/lightdash/lightdash,TypeScript,2021-03-19T09:44:40Z,2024-10-09T18:30:39Z,3855,406,1117,MIT License,data-analytics
lance,lancedb,"Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, with more integrations coming..",https://github.com/lancedb/lance,Rust,2022-07-07T22:29:29Z,2024-10-09T13:04:15Z,3841,212,468,Apache License 2.0,data-analytics
pretzelai,pretzelai,The modern replacement for Jupyter Notebooks,https://github.com/pretzelai/pretzelai,TypeScript,2024-03-12T19:51:02Z,2024-10-09T15:48:35Z,1989,134,31,Other,data-analytics
datart,running-elephant,Datart is a next generation Data Visualization Open Platform,https://github.com/running-elephant/datart,TypeScript,2021-10-15T09:50:39Z,2024-10-09T15:01:11Z,1948,585,393,Apache License 2.0,data-analytics
diffgram,diffgram,"The AI Datastore for Schemas, BLOBs, and Predictions. Use with your apps or integrate built-in Human Supervision, Data Workflow, and UI Catalog to get the most value out of your AI Data.",https://github.com/diffgram/diffgram,Python,2018-09-06T21:04:23Z,2024-10-07T22:29:50Z,1835,119,483,Other,data-analytics
zui,brimdata,Zui is a powerful desktop application for exploring and working with data. The official front-end to the Zed lake.,https://github.com/brimdata/zui,TypeScript,2018-08-09T23:10:01Z,2024-10-09T17:47:48Z,1789,131,291,Other,data-analytics
datagear,datageartech,DataGearæ•°æ®å¯è§†åŒ–åˆ†æžå¹³å°ï¼Œè‡ªç”±åˆ¶ä½œä»»ä½•æ‚¨æƒ³è¦çš„æ•°æ®çœ‹æ¿,https://github.com/datageartech/datagear,Java,2020-02-22T04:06:51Z,2024-10-08T08:49:14Z,1433,337,1,GNU Lesser General Public License v3.0,data-analytics
dremio-oss,dremio,Dremio - the missing link in modern data,https://github.com/dremio/dremio-oss,Java,2017-07-17T20:17:04Z,2024-10-04T02:26:39Z,1361,445,52,Apache License 2.0,data-analytics
mining,mining,"Business Intelligence (BI) in Python, OLAP",https://github.com/mining/mining,Python,2014-01-23T19:20:01Z,2024-09-30T07:23:09Z,1278,236,68,MIT License,data-analytics
traildb,traildb,TrailDB is an efficient tool for storing and querying series of events,https://github.com/traildb/traildb,C,2014-08-12T07:34:48Z,2024-09-22T14:45:37Z,1090,76,37,MIT License,data-analytics
insights,mariusandra,Open Source Self-Hosted Business Intelligence Platform,https://github.com/mariusandra/insights,JavaScript,2017-05-16T07:08:43Z,2024-10-06T13:25:29Z,1087,73,78,MIT License,data-analytics
latitude,latitude-dev,Developer-first embedded analytics,https://github.com/latitude-dev/latitude,TypeScript,2024-01-31T12:48:57Z,2024-10-05T12:39:39Z,856,38,4,GNU Lesser General Public License v3.0,data-analytics
datachain,iterative,"AI-dataframe to enrich, transform and analyze data from cloud storages for ML training and LLM apps",https://github.com/iterative/datachain,Python,2024-06-25T22:29:35Z,2024-10-09T16:44:33Z,762,45,44,Apache License 2.0,data-analytics
data-science-with-ruby,arbox,Practical Data Science with Ruby based tools.,https://github.com/arbox/data-science-with-ruby,Ruby,2017-04-13T14:01:18Z,2024-10-07T09:25:08Z,703,51,1,Creative Commons Zero v1.0 Universal,data-analytics
DataAnalysisInAction,program-spiritual,(Finished) Geek Time Data Analysis Practical 45 Lecture - Detailed notes containing markdown images mind map code data can be read directly code test,https://github.com/program-spiritual/DataAnalysisInAction,Python,2018-12-19T08:10:50Z,2024-10-01T02:21:48Z,700,275,9,Other,data-analytics
google-data-analytics,elmoallistair,google data analytics professional certificate,https://github.com/elmoallistair/google-data-analytics,Jupyter Notebook,2021-03-14T02:57:04Z,2024-10-01T03:39:42Z,698,317,19,No License,data-analytics
Data-Analyst-Roadmap,mrankitgupta,I am sharing my Journey of 66DaysofData into Data Analytics by participating in Ken Jee's #66daysofdata challenge,https://github.com/mrankitgupta/Data-Analyst-Roadmap,,2022-02-05T11:17:52Z,2024-10-07T22:04:32Z,688,104,1,MIT License,data-analytics
abixen-platform,abixen,Abixen Platform is a microservices based software platform for building enterprise applications delivering functionalities through creating particular microservices and integrating by provided CMS.,https://github.com/abixen/abixen-platform,Java,2016-10-19T07:04:44Z,2024-10-02T11:24:41Z,679,210,85,GNU Lesser General Public License v2.1,data-analytics
feldera,feldera,The Feldera Incremental Computation Engine,https://github.com/feldera/feldera,Rust,2023-05-11T19:57:19Z,2024-10-09T19:16:47Z,636,40,260,Other,data-analytics
arx,arx-deidentifier,"ARX is a comprehensive open source data anonymization tool aiming to provide scalability and usability. It supports various anonymization techniques, methods for analyzing data quality and re-identification risks and it supports well-known privacy models, such as k-anonymity, l-diversity, t-closeness and differential privacy.",https://github.com/arx-deidentifier/arx,Java,2013-04-29T15:23:18Z,2024-10-01T13:10:33Z,620,214,61,Apache License 2.0,data-analytics
datasheets,Squarespace,"Read data from, write data to, and modify the formatting of Google Sheets",https://github.com/Squarespace/datasheets,Python,2017-01-17T18:53:24Z,2024-09-05T22:01:47Z,618,53,6,Other,data-analytics
ai-data-analysis-MulitAgent,starpig1129,"AI-Driven Research Assistant: An advanced multi-agent system for automating complex research processes. Leveraging LangChain, OpenAI GPT, and LangGraph, this tool streamlines hypothesis generation, data analysis, visualization, and report writing. Perfect for researchers and data scientists seeking to enhance their workflow and productivity.",https://github.com/starpig1129/ai-data-analysis-MulitAgent,Python,2024-07-23T05:50:15Z,2024-10-09T17:49:09Z,604,82,0,MIT License,data-analytics
isp-data-pollution,essandess,ISP Data Pollution to Protect Private Browsing History with Obfuscation,https://github.com/essandess/isp-data-pollution,Python,2017-03-25T03:57:18Z,2024-09-21T15:16:03Z,591,53,6,MIT License,data-analytics
bigfunctions,unytics,Supercharge BigQuery with BigFunctions,https://github.com/unytics/bigfunctions,Python,2022-08-24T07:41:54Z,2024-10-09T19:24:48Z,589,55,33,MIT License,data-analytics
facet,BCG-X-Official,Human-explainable AI.,https://github.com/BCG-X-Official/facet,Jupyter Notebook,2020-08-05T09:07:03Z,2024-10-02T09:14:32Z,508,46,10,Apache License 2.0,data-analytics
metatron-discovery,metatron-app,Powerful & Easy way for big data discovery,https://github.com/metatron-app/metatron-discovery,TypeScript,2018-07-27T07:54:46Z,2024-10-07T22:06:27Z,441,111,753,Apache License 2.0,data-analytics
